,dates,Ancestor's Chosen,Angel of Mercy,Aven Cloudchaser,Ballista Squad,Bandage,Beacon of Immortality,Benalish Knight,Condemn,Contaminated Bond,Demystify
2020-01-12,2020-01-12," 0.23
"," 0.68
"," 0.16
"," 0.23
"," 0.04
"," 1.29
"," 0.18
",," 0.16
"," 0.15
"
2020-01-13,2020-01-13," 0.23
"," 0.68
"," 0.16
"," 0.24
"," 0.04
"," 1.29
"," 0.17
",," 0.16
"," 0.15
"
2020-01-14,2020-01-14," 0.23
"," 0.68
"," 0.16
"," 0.23
"," 0.04
"," 1.29
"," 0.17
",," 0.15
"," 0.15
"
2020-01-15,2020-01-15," 0.23
"," 0.68
"," 0.16
"," 0.23
"," 0.04
"," 1.79
"," 0.17
",," 0.15
"," 0.15
"
2020-01-16,2020-01-16," 0.24
"," 0.68
"," 0.16
"," 0.23
"," 0.04
"," 1.79
"," 0.17
",," 0.15
"," 0.15
"
2020-01-17,2020-01-17," 0.24
"," 0.68
"," 0.17
"," 0.23
"," 0.04
"," 1.41
"," 0.17
",," 0.15
"," 0.15
"
2020-01-18,2020-01-18," 0.23
"," 0.68
"," 0.16
"," 0.23
"," 0.04
"," 1.41
"," 0.17
",," 0.15
"," 0.15
"
2020-01-19,2020-01-19," 0.23
"," 0.68
"," 0.16
"," 0.23
"," 0.04
"," 1.53
"," 0.17
",," 0.15
"," 0.15
"
2020-01-20,2020-01-20," 0.23
"," 0.68
"," 0.17
"," 0.23
"," 0.04
"," 1.53
"," 0.17
",," 0.15
"," 0.15
"
2020-01-21,2020-01-21," 0.24
"," 0.68
"," 0.16
"," 0.24
"," 0.04
",," 0.18
",," 0.15
"," 0.15
"
2020-01-22,2020-01-22," 0.24
"," 0.69
"," 0.17
"," 0.24
"," 0.04
",," 0.17
",," 0.15
"," 0.15
"
2020-01-23,2020-01-23," 0.23
"," 0.69
"," 0.17
"," 0.24
"," 0.04
",," 0.18
",," 0.16
"," 0.15
"
2020-01-24,2020-01-24," 0.24
"," 0.69
"," 0.17
"," 0.24
"," 0.04
",," 0.18
",," 0.16
"," 0.16
"
2020-01-25,2020-01-25," 0.24
"," 0.69
"," 0.17
"," 0.23
"," 0.04
",," 0.17
",," 0.16
"," 0.15
"
2020-01-26,2020-01-26," 0.24
"," 0.69
"," 0.16
"," 0.23
"," 0.04
",," 0.17
",," 0.15
"," 0.15
"
2020-01-27,2020-01-27," 0.23
"," 0.69
"," 0.16
"," 0.23
"," 0.04
"," 2.0
"," 0.17
",," 0.15
"," 0.15
"
2020-01-28,2020-01-28," 0.24
"," 0.68
"," 0.16
"," 0.23
"," 0.04
"," 1.73
"," 0.17
",," 0.15
"," 0.15
"
2020-01-29,2020-01-29," 0.24
"," 0.68
"," 0.17
"," 0.24
"," 0.04
"," 1.73
"," 0.17
",," 0.15
"," 0.15
"
2020-01-30,2020-01-30," 0.24
"," 0.68
"," 0.17
"," 0.24
"," 0.04
"," 1.73
"," 0.17
",," 0.15
"," 0.15
"
2020-01-31,2020-01-31," 0.24
"," 0.68
"," 0.17
"," 0.24
"," 0.04
"," 1.73
"," 0.18
",," 0.15
"," 0.15
"
2020-02-01,2020-02-01," 0.24
"," 0.68
"," 0.17
"," 0.23
"," 0.04
"," 1.73
"," 0.17
",," 0.16
"," 0.15
"
2020-02-02,2020-02-02," 0.24
"," 0.69
"," 0.17
"," 0.24
"," 0.04
"," 1.45
"," 0.18
",," 0.16
"," 0.15
"
2020-02-03,2020-02-03," 0.24
"," 0.69
"," 0.17
"," 0.24
"," 0.04
"," 1.45
"," 0.18
",," 0.16
"," 0.15
"
2020-02-04,2020-02-04," 0.24
"," 0.69
"," 0.19
"," 0.24
"," 0.04
"," 1.47
"," 0.18
",," 0.17
"," 0.15
"
2020-02-05,2020-02-05," 0.24
"," 0.69
"," 0.19
"," 0.24
"," 0.04
"," 1.63
"," 0.19
",," 0.17
"," 0.16
"
2020-02-06,2020-02-06," 0.24
"," 0.69
"," 0.17
"," 0.24
"," 0.04
"," 1.78
"," 0.19
",," 0.17
"," 0.16
"
2020-02-07,2020-02-07," 0.24
"," 0.69
"," 0.17
"," 0.24
"," 0.04
"," 1.63
"," 0.18
",," 0.17
"," 0.15
"
2020-02-08,2020-02-08," 0.24
"," 0.69
"," 0.17
"," 0.24
"," 0.04
"," 1.63
"," 0.18
",," 0.16
"," 0.15
"
2020-02-09,2020-02-09," 0.24
"," 0.69
"," 0.17
"," 0.24
"," 0.04
"," 1.63
"," 0.18
",," 0.16
"," 0.15
"
2020-02-10,2020-02-10," 0.24
"," 0.69
"," 0.17
"," 0.24
"," 0.04
"," 1.63
"," 0.17
",," 0.16
"," 0.15
"
2020-02-11,2020-02-11," 0.24
"," 0.69
"," 0.17
"," 0.24
"," 0.04
"," 1.79
"," 0.17
",," 0.16
"," 0.15
"
2020-02-12,2020-02-12," 0.24
"," 0.69
"," 0.17
"," 0.24
"," 0.04
"," 1.79
"," 0.18
",," 0.16
"," 0.15
"
2020-02-13,2020-02-13,,,,," 0.04
",,,,,
2020-02-14,2020-02-14," 0.24
"," 0.68
"," 0.18
"," 0.24
"," 0.04
"," 1.79
"," 0.18
",," 0.16
"," 0.15
"
2020-02-15,2020-02-15," 0.24
"," 0.68
"," 0.17
"," 0.24
"," 0.04
"," 1.79
"," 0.17
",," 0.16
"," 0.15
"
2020-02-16,2020-02-16," 0.24
"," 0.68
"," 0.17
"," 0.24
"," 0.04
"," 1.79
"," 0.18
",," 0.16
"," 0.15
"
2020-02-17,2020-02-17," 0.24
"," 0.68
"," 0.17
"," 0.24
"," 0.04
"," 1.79
"," 0.18
",," 0.15
"," 0.15
"
2020-02-18,2020-02-18," 0.24
"," 0.68
"," 0.17
"," 0.24
"," 0.04
"," 1.79
"," 0.17
",," 0.15
"," 0.15
"
2020-02-19,2020-02-19," 0.24
"," 0.68
"," 0.17
"," 0.24
"," 0.04
"," 1.79
"," 0.17
",," 0.15
"," 0.15
"
2020-02-20,2020-02-20," 0.24
"," 0.68
"," 0.17
"," 0.24
"," 0.04
"," 1.79
"," 0.17
",," 0.15
"," 0.15
"
2020-02-21,2020-02-21," 0.24
"," 0.68
"," 0.17
"," 0.24
"," 0.04
"," 1.79
"," 0.17
",," 0.15
"," 0.15
"
2020-02-22,2020-02-22," 0.24
"," 0.68
"," 0.17
"," 0.23
"," 0.04
"," 1.79
"," 0.17
",," 0.15
"," 0.15
"
2020-02-23,2020-02-23," 0.24
"," 0.68
"," 0.17
"," 0.23
"," 0.04
"," 1.79
"," 0.17
",," 0.15
"," 0.15
"
2020-02-24,2020-02-24," 0.24
"," 0.68
"," 0.17
"," 0.23
"," 0.04
"," 1.9
"," 0.17
",," 0.15
"," 0.15
"
2020-02-25,2020-02-25," 0.24
"," 0.68
"," 0.17
"," 0.24
"," 0.04
"," 1.9
"," 0.17
",," 0.15
"," 0.15
"
2020-02-26,2020-02-26," 0.24
"," 0.68
"," 0.17
"," 0.24
"," 0.04
"," 2.0
"," 0.17
",," 0.15
"," 0.15
"
2020-02-27,2020-02-27," 0.24
"," 0.68
"," 0.17
"," 0.24
"," 0.04
"," 2.05
"," 0.17
",," 0.15
"," 0.15
"
2020-02-28,2020-02-28," 0.24
"," 0.68
"," 0.18
"," 0.24
"," 0.04
"," 2.05
"," 0.17
",," 0.15
"," 0.15
"
2020-02-29,2020-02-29," 0.24
"," 0.68
"," 0.18
"," 0.24
"," 0.04
"," 2.09
"," 0.17
",," 0.15
"," 0.15
"
2020-03-01,2020-03-01," 0.24
"," 0.68
"," 0.17
"," 0.24
"," 0.04
"," 2.09
"," 0.17
",," 0.15
"," 0.15
"
2020-03-02,2020-03-02," 0.24
"," 0.68
"," 0.18
"," 0.24
"," 0.04
"," 2.09
"," 0.17
",," 0.15
"," 0.15
"
2020-03-03,2020-03-03," 0.24
"," 0.68
"," 0.17
"," 0.24
"," 0.04
"," 2.09
"," 0.17
",," 0.15
"," 0.15
"
2020-03-04,2020-03-04," 0.24
"," 0.68
"," 0.17
"," 0.24
"," 0.04
"," 2.09
"," 0.17
",," 0.15
"," 0.15
"
2020-03-05,2020-03-05," 0.24
"," 0.66
"," 0.17
"," 0.24
"," 0.04
"," 2.09
"," 0.18
",," 0.15
"," 0.15
"
2020-03-06,2020-03-06," 0.24
"," 0.65
"," 0.17
"," 0.24
"," 0.04
"," 2.09
"," 0.18
",," 0.15
"," 0.15
"
2020-03-07,2020-03-07," 0.24
"," 0.65
"," 0.17
"," 0.24
"," 0.04
"," 2.09
"," 0.17
",," 0.15
"," 0.15
"
2020-03-08,2020-03-08," 0.24
"," 0.65
"," 0.17
"," 0.24
"," 0.04
"," 2.09
"," 0.17
",," 0.15
"," 0.15
"
2020-03-09,2020-03-09," 0.24
"," 0.65
"," 0.17
"," 0.24
"," 0.04
"," 2.09
"," 0.17
",," 0.15
"," 0.15
"
2020-03-10,2020-03-10," 0.24
"," 0.65
"," 0.17
"," 0.23
"," 0.04
"," 2.09
"," 0.18
",," 0.15
"," 0.15
"
2020-03-11,2020-03-11," 0.24
"," 0.67
"," 0.18
"," 0.24
"," 0.04
"," 2.09
"," 0.18
",," 0.15
"," 0.15
"
2020-03-12,2020-03-12," 0.24
"," 0.67
"," 0.17
"," 0.24
"," 0.04
"," 1.56
"," 0.17
",," 0.15
"," 0.15
"
2020-03-13,2020-03-13," 0.24
"," 0.67
"," 0.17
"," 0.24
"," 0.04
"," 1.43
"," 0.17
",," 0.15
"," 0.15
"
2020-03-14,2020-03-14," 0.24
"," 0.65
"," 0.17
"," 0.24
"," 0.04
"," 1.33
"," 0.17
",," 0.15
"," 0.15
"
2020-03-15,2020-03-15," 0.24
"," 0.65
"," 0.17
"," 0.23
"," 0.04
"," 1.15
"," 0.17
",," 0.15
"," 0.15
"
2020-03-16,2020-03-16," 0.24
"," 0.65
"," 0.17
"," 0.23
"," 0.04
"," 1.03
"," 0.17
",," 0.15
"," 0.15
"
2020-03-17,2020-03-17," 0.24
"," 0.65
"," 0.17
"," 0.24
"," 0.04
"," 0.98
"," 0.17
",," 0.15
"," 0.15
"
2020-03-18,2020-03-18," 0.24
"," 0.65
"," 0.17
"," 0.24
"," 0.04
"," 0.92
"," 0.17
",," 0.15
"," 0.15
"
2020-03-19,2020-03-19," 0.24
"," 0.65
"," 0.17
"," 0.24
"," 0.04
"," 0.9
"," 0.17
",," 0.15
"," 0.15
"
2020-03-20,2020-03-20," 0.24
"," 0.65
"," 0.17
"," 0.23
"," 0.04
"," 0.89
"," 0.17
",," 0.15
"," 0.15
"
2020-03-21,2020-03-21," 0.24
"," 0.65
"," 0.17
"," 0.23
"," 0.04
"," 0.91
"," 0.17
",," 0.15
"," 0.15
"
2020-03-22,2020-03-22,,,,," 0.04
",,,,,
2020-03-23,2020-03-23," 0.24
"," 0.65
"," 0.17
"," 0.24
"," 0.04
"," 0.92
"," 0.17
",," 0.15
"," 0.15
"
2020-03-24,2020-03-24," 0.24
"," 0.65
"," 0.17
"," 0.23
"," 0.04
"," 0.92
"," 0.17
",," 0.15
"," 0.15
"
2020-03-25,2020-03-25," 0.24
"," 0.66
"," 0.19
"," 0.24
"," 0.04
"," 0.92
"," 0.18
",," 0.15
"," 0.15
"
2020-03-26,2020-03-26," 0.24
"," 0.66
"," 0.17
"," 0.24
"," 0.04
"," 0.89
"," 0.18
",," 0.15
"," 0.15
"
2020-03-27,2020-03-27," 0.24
"," 0.67
"," 0.19
"," 0.24
"," 0.04
"," 0.89
"," 0.17
",," 0.15
"," 0.15
"
2020-03-28,2020-03-28," 0.24
"," 0.67
"," 0.18
"," 0.24
"," 0.04
"," 0.91
"," 0.17
",," 0.15
"," 0.15
"
2020-03-29,2020-03-29," 0.24
"," 0.67
"," 0.18
"," 0.24
"," 0.04
"," 0.92
"," 0.17
",," 0.15
"," 0.15
"
2020-03-30,2020-03-30," 0.24
"," 0.66
"," 0.18
"," 0.24
"," 0.04
"," 0.91
"," 0.17
",," 0.15
"," 0.15
"
2020-03-31,2020-03-31," 0.24
"," 0.66
"," 0.18
"," 0.24
"," 0.04
"," 0.83
"," 0.17
",," 0.15
"," 0.15
"
2020-04-01,2020-04-01," 0.24
"," 0.66
"," 0.18
"," 0.24
"," 0.04
"," 0.8
"," 0.17
",," 0.15
"," 0.15
"
2020-04-02,2020-04-02," 0.24
"," 0.66
"," 0.18
"," 0.24
"," 0.04
"," 0.86
"," 0.17
",," 0.15
"," 0.15
"
2020-04-03,2020-04-03," 0.24
"," 0.66
"," 0.18
"," 0.24
"," 0.04
"," 0.89
"," 0.17
",," 0.15
"," 0.15
"
2020-04-04,2020-04-04," 0.24
"," 0.66
"," 0.17
"," 0.24
"," 0.04
"," 0.89
"," 0.17
",," 0.15
"," 0.15
"
2020-04-05,2020-04-05," 0.24
"," 0.66
"," 0.17
"," 0.24
"," 0.04
"," 0.86
"," 0.17
",," 0.15
"," 0.15
"
2020-04-06,2020-04-06," 0.24
"," 0.66
"," 0.18
"," 0.24
"," 0.04
"," 0.89
"," 0.17
",," 0.15
"," 0.15
"
2020-04-07,2020-04-07," 0.24
"," 0.66
"," 0.18
"," 0.24
"," 0.04
"," 0.89
"," 0.18
",," 0.15
"," 0.15
"
2020-04-08,2020-04-08," 0.24
"," 0.66
"," 0.18
"," 0.24
"," 0.04
"," 0.88
"," 0.18
",," 0.15
"," 0.15
"
2020-04-09,2020-04-09," 0.24
"," 0.66
"," 0.17
"," 0.24
"," 0.04
"," 0.92
"," 0.17
",," 0.15
"," 0.15
"
2020-04-10,2020-04-10," 0.24
"," 0.66
"," 0.18
"," 0.24
"," 0.04
"," 0.92
"," 0.17
",," 0.15
"," 0.15
"
2020-04-11,2020-04-11," 0.24
"," 0.66
"," 0.18
"," 0.24
"," 0.04
"," 0.89
"," 0.18
",," 0.15
"," 0.15
"
2020-04-12,2020-04-12," 0.24
"," 0.66
"," 0.18
"," 0.24
"," 0.04
"," 0.91
"," 0.18
",," 0.15
"," 0.15
"
2020-04-13,2020-04-13," 0.24
"," 0.66
"," 0.17
"," 0.24
"," 0.04
"," 0.88
"," 0.18
",," 0.15
"," 0.15
"
2020-04-14,2020-04-14," 0.24
"," 0.65
"," 0.18
"," 0.24
"," 0.04
"," 0.92
"," 0.17
",," 0.15
"," 0.15
"
2020-04-15,2020-04-15," 0.24
"," 0.65
"," 0.19
"," 0.24
"," 0.04
"," 0.92
"," 0.18
",," 0.15
"," 0.15
"
2020-04-16,2020-04-16," 0.24
"," 0.65
"," 0.19
"," 0.24
"," 0.04
"," 0.92
"," 0.19
",," 0.16
"," 0.15
"
2020-04-17,2020-04-17," 0.24
"," 0.65
"," 0.19
"," 0.24
"," 0.04
"," 0.92
"," 0.19
",," 0.15
"," 0.16
"
2020-04-18,2020-04-18," 0.24
"," 0.65
"," 0.19
"," 0.24
"," 0.04
"," 0.92
"," 0.19
",," 0.16
"," 0.15
"
2020-04-19,2020-04-19,,,,," 0.04
",,,,,
2020-04-20,2020-04-20," 0.24
"," 0.65
"," 0.19
"," 0.24
"," 0.04
"," 0.92
"," 0.19
",," 0.16
"," 0.15
"
2020-04-21,2020-04-21," 0.24
"," 0.65
"," 0.19
"," 0.24
"," 0.04
"," 0.92
"," 0.19
",," 0.16
"," 0.15
"
2020-04-22,2020-04-22," 0.24
"," 0.65
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.19
",," 0.16
"," 0.15
"
2020-04-23,2020-04-23," 0.24
"," 0.65
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.16
"," 0.15
"
2020-04-24,2020-04-24," 0.25
"," 0.65
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.16
"," 0.15
"
2020-04-25,2020-04-25," 0.25
"," 0.65
"," 0.19
"," 0.24
"," 0.04
"," 0.96
"," 0.18
",," 0.16
"," 0.15
"
2020-04-26,2020-04-26," 0.24
"," 0.67
"," 0.19
"," 0.24
"," 0.04
"," 0.96
"," 0.18
",," 0.16
"," 0.15
"
2020-04-27,2020-04-27," 0.24
"," 0.67
"," 0.19
"," 0.24
"," 0.04
"," 0.96
"," 0.18
",," 0.16
"," 0.15
"
2020-04-28,2020-04-28," 0.24
"," 0.67
"," 0.19
"," 0.24
"," 0.04
"," 0.92
"," 0.18
",," 0.16
"," 0.16
"
2020-04-29,2020-04-29," 0.24
"," 0.68
"," 0.19
"," 0.24
"," 0.04
"," 0.93
"," 0.18
",," 0.16
"," 0.16
"
2020-04-30,2020-04-30," 0.25
"," 0.65
"," 0.19
"," 0.24
"," 0.04
"," 0.93
"," 0.18
",," 0.16
"," 0.16
"
2020-05-01,2020-05-01," 0.25
"," 0.65
"," 0.19
"," 0.24
"," 0.04
"," 0.92
"," 0.18
",," 0.16
"," 0.16
"
2020-05-02,2020-05-02," 0.25
"," 0.65
"," 0.19
"," 0.24
"," 0.04
"," 0.99
"," 0.18
",," 0.16
"," 0.16
"
2020-05-03,2020-05-03," 0.25
"," 0.65
"," 0.19
"," 0.24
"," 0.04
"," 0.93
"," 0.18
",," 0.16
"," 0.16
"
2020-05-04,2020-05-04," 0.25
"," 0.65
"," 0.19
"," 0.24
"," 0.04
"," 0.93
"," 0.18
",," 0.16
"," 0.16
"
2020-05-05,2020-05-05,,,,," 0.04
",,,,,
2020-05-06,2020-05-06," 0.25
"," 0.68
"," 0.19
"," 0.24
"," 0.04
"," 0.99
"," 0.18
",," 0.16
"," 0.16
"
2020-05-07,2020-05-07," 0.25
"," 0.67
"," 0.19
"," 0.24
"," 0.04
"," 0.99
"," 0.18
",," 0.16
"," 0.16
"
2020-05-08,2020-05-08," 0.25
"," 0.67
"," 0.19
"," 0.24
"," 0.04
"," 0.99
"," 0.19
",," 0.16
"," 0.16
"
2020-05-09,2020-05-09," 0.25
"," 0.67
"," 0.19
"," 0.24
"," 0.04
"," 0.99
"," 0.19
",," 0.16
"," 0.16
"
2020-05-10,2020-05-10," 0.25
"," 0.67
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.19
",," 0.16
"," 0.16
"
2020-05-11,2020-05-11," 0.25
"," 0.68
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.16
"," 0.16
"
2020-05-12,2020-05-12," 0.25
"," 0.68
"," 0.19
"," 0.24
"," 0.04
"," 0.92
"," 0.18
",," 0.17
"," 0.16
"
2020-05-13,2020-05-13," 0.25
"," 0.68
"," 0.19
"," 0.24
"," 0.04
"," 0.99
"," 0.19
",," 0.17
"," 0.15
"
2020-05-14,2020-05-14," 0.25
"," 0.68
"," 0.19
"," 0.24
"," 0.04
"," 0.99
"," 0.19
",," 0.17
"," 0.16
"
2020-05-15,2020-05-15," 0.25
"," 0.68
"," 0.19
"," 0.24
"," 0.04
"," 0.99
"," 0.19
",," 0.17
"," 0.16
"
2020-05-16,2020-05-16," 0.25
"," 0.66
"," 0.19
"," 0.24
"," 0.04
"," 0.99
"," 0.18
",," 0.16
"," 0.15
"
2020-05-17,2020-05-17," 0.25
"," 0.67
"," 0.19
"," 0.24
"," 0.04
"," 0.98
"," 0.18
",," 0.17
"," 0.16
"
2020-05-18,2020-05-18," 0.25
"," 0.68
"," 0.19
"," 0.24
"," 0.04
"," 0.99
"," 0.18
",," 0.17
"," 0.15
"
2020-05-19,2020-05-19," 0.25
"," 0.68
"," 0.19
"," 0.24
"," 0.04
"," 0.99
"," 0.18
",," 0.17
"," 0.15
"
2020-05-20,2020-05-20," 0.25
"," 0.68
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.16
"
2020-05-21,2020-05-21," 0.25
"," 0.68
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.15
"
2020-05-22,2020-05-22," 0.25
"," 0.68
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.15
"
2020-05-23,2020-05-23," 0.25
"," 0.68
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.15
"
2020-05-24,2020-05-24," 0.25
"," 0.68
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.15
"
2020-05-25,2020-05-25," 0.25
"," 0.68
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.15
"
2020-05-26,2020-05-26," 0.25
"," 0.68
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.15
"
2020-05-27,2020-05-27," 0.25
"," 0.68
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.16
"," 0.16
"
2020-05-28,2020-05-28," 0.25
"," 0.69
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.16
"," 0.16
"
2020-05-29,2020-05-29," 0.25
"," 0.69
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.16
"," 0.16
"
2020-05-30,2020-05-30," 0.25
"," 0.69
"," 0.19
"," 0.24
"," 0.04
"," 1.02
"," 0.18
",," 0.17
"," 0.16
"
2020-05-31,2020-05-31,,,,," 0.04
",,,,,
2020-06-01,2020-06-01,,,,," 0.04
",,,,,
2020-06-02,2020-06-02," 0.25
"," 0.68
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.16
"
2020-06-03,2020-06-03," 0.25
"," 0.69
"," 0.19
"," 0.24
"," 0.04
"," 1.02
"," 0.18
",," 0.16
"," 0.17
"
2020-06-04,2020-06-04," 0.25
"," 0.69
"," 0.19
"," 0.24
"," 0.04
"," 1.03
"," 0.18
",," 0.17
"," 0.17
"
2020-06-05,2020-06-05," 0.25
"," 0.69
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.16
"," 0.16
"
2020-06-06,2020-06-06," 0.25
"," 0.69
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.16
"
2020-06-07,2020-06-07," 0.25
"," 0.69
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.16
"
2020-06-08,2020-06-08," 0.25
"," 0.71
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.17
"
2020-06-09,2020-06-09," 0.25
"," 0.71
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.16
"
2020-06-10,2020-06-10," 0.25
"," 0.71
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.16
"
2020-06-11,2020-06-11," 0.25
"," 0.71
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.17
"
2020-06-12,2020-06-12," 0.25
"," 0.71
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.17
"
2020-06-13,2020-06-13," 0.25
"," 0.69
"," 0.19
"," 0.24
"," 0.04
"," 1.05
"," 0.18
",," 0.17
"," 0.17
"
2020-06-14,2020-06-14," 0.25
"," 0.69
"," 0.19
"," 0.24
"," 0.04
"," 1.04
"," 0.18
",," 0.17
"," 0.16
"
2020-06-15,2020-06-15," 0.25
"," 0.71
"," 0.19
"," 0.24
"," 0.04
"," 1.04
"," 0.18
",," 0.17
"," 0.16
"
2020-06-16,2020-06-16,,," 0.19
"," 0.24
"," 0.04
",," 0.18
",," 0.17
",
2020-06-17,2020-06-17," 0.25
"," 0.72
"," 0.19
"," 0.24
"," 0.04
"," 1.04
"," 0.18
",," 0.17
"," 0.17
"
2020-06-18,2020-06-18," 0.25
"," 0.67
"," 0.19
"," 0.24
"," 0.04
"," 1.01
"," 0.18
",," 0.17
"," 0.17
"
2020-06-19,2020-06-19," 0.25
"," 0.71
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.16
"
2020-06-20,2020-06-20," 0.25
"," 0.65
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.15
"
2020-06-21,2020-06-21," 0.25
"," 0.65
"," 0.19
"," 0.23
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.15
"
2020-06-22,2020-06-22," 0.25
"," 0.65
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.15
"
2020-06-23,2020-06-23," 0.25
"," 0.65
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.18
"," 0.16
"
2020-06-24,2020-06-24," 0.25
"," 0.65
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.18
"," 0.15
"
2020-06-25,2020-06-25," 0.25
"," 0.66
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.19
",," 0.17
"," 0.15
"
2020-06-26,2020-06-26," 0.25
"," 0.66
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.15
"
2020-06-27,2020-06-27," 0.25
"," 0.66
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.15
"
2020-06-28,2020-06-28," 0.25
"," 0.66
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.16
"," 0.15
"
2020-06-29,2020-06-29," 0.25
"," 0.68
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.15
"
2020-06-30,2020-06-30," 0.25
"," 0.68
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.15
"
2020-07-01,2020-07-01," 0.25
"," 0.73
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.17
"
2020-07-02,2020-07-02," 0.25
"," 0.69
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.16
"
2020-07-03,2020-07-03," 0.25
"," 0.72
"," 0.19
"," 0.23
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.17
"
2020-07-04,2020-07-04," 0.25
"," 0.69
"," 0.19
"," 0.23
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.16
"
2020-07-05,2020-07-05," 0.25
"," 0.72
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.16
"
2020-07-06,2020-07-06," 0.25
"," 0.72
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.15
"
2020-07-07,2020-07-07," 0.25
"," 0.72
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.15
"
2020-07-08,2020-07-08," 0.25
"," 0.72
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.18
"," 0.16
"
2020-07-09,2020-07-09," 0.25
"," 0.72
"," 0.19
"," 0.23
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.16
"
2020-07-10,2020-07-10," 0.25
"," 0.73
"," 0.19
"," 0.23
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.16
"
2020-07-11,2020-07-11," 0.25
"," 0.72
"," 0.2
"," 0.23
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.15
"
2020-07-12,2020-07-12," 0.25
"," 0.74
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.15
"
2020-07-13,2020-07-13," 0.25
"," 0.74
"," 0.19
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.15
"
2020-07-14,2020-07-14," 0.25
"," 0.73
"," 0.2
"," 0.24
"," 0.04
"," 1.0
"," 0.18
",," 0.17
"," 0.15
"
